symbol,date,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,macd,macd_signal,volume_ratio,support,resistance,atr,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,max_score,signal,breakout,reasons
NYKAA,2026-09-15,341.35,-0.91,55.94,337.18,326.98,289.89,3.9284,3.8168,0.36,320.3,349.55,7.27,325.1,341.35,317.1,377.73,401.98,426.24,1.5,5.5,10.0,WATCH,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD bullish; MACD > zero
LICHSGFIN,2026-09-15,548.95,-2.48,56.98,539.03,534.08,539.58,9.972,6.5056,0.69,485.45,579.4,15.04,492.73,548.95,480.6,651.48,719.84,788.19,1.5,5.5,10.0,WATCH,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD bullish; MACD > zero
PAYTM,2026-09-15,1759.3,-2.67,64.16,1661.37,1519.17,1301.1,74.0286,73.2961,0.55,1546.3,1840.0,59.69,1569.49,1759.3,1530.84,2101.99,2330.46,2558.92,1.5,5.5,10.0,WATCH,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD bullish; MACD > zero
KALYANKJIL,2026-09-15,613.7,2.09,56.34,601.25,564.11,484.2,8.9966,11.299,0.68,556.5,635.95,21.8,564.85,613.7,550.93,707.85,770.61,833.38,1.5,5.0,10.0,WATCH,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD > zero; Positive daily momentum
TATACOMM,2026-09-15,1794.3,1.86,59.45,1739.1,1758.24,1738.26,4.4876,-9.6515,0.76,1640.2,1819.8,46.19,1664.8,1794.3,1623.8,2050.05,2220.56,2391.06,1.5,5.0,10.0,WATCH,False,Price > fast EMA; Price > long EMA; RSI bullish zone; MACD bullish; MACD > zero; Positive daily momentum
ADANIPORTS,2026-09-15,1744.4,-1.14,54.86,1715.73,1723.92,1640.77,7.8331,-4.7663,0.35,1593.1,1791.4,39.06,1617.0,1744.4,1577.17,1995.25,2162.48,2329.71,1.5,4.5,10.0,AVOID,False,Price > fast EMA; Price > long EMA; RSI bullish zone; MACD bullish; MACD > zero
AUROPHARMA,2026-09-15,1673.6,-0.37,55.71,1654.2,1610.0,1429.77,20.7462,20.9815,0.21,1598.8,1717.0,37.76,1622.78,1673.6,1582.81,1809.78,1900.57,1991.36,1.5,4.5,10.0,AVOID,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD > zero
GROWW,2026-09-15,200.09,-0.07,57.51,195.65,195.99,182.29,0.2288,-0.6225,0.41,185.35,205.21,5.35,188.13,200.09,183.5,224.98,241.57,258.17,1.5,4.5,10.0,AVOID,False,Price > fast EMA; Price > long EMA; RSI bullish zone; MACD bullish; MACD > zero
COFORGE,2026-09-15,1787.3,-3.21,42.3,1871.76,1764.06,1593.49,27.9474,56.7878,1.28,1762.2,2021.2,60.07,1787.3,1787.3,1697.2,1922.45,2012.56,2102.66,1.5,4.5,10.0,AVOID,False,Fast EMA > slow EMA; Price > long EMA; MACD > zero; Volume 1.3x average; Near support
DIVISLAB,2026-09-15,9237.5,-0.91,60.56,9064.48,8411.69,7175.38,322.7881,358.9256,0.47,8457.5,9615.0,197.98,8584.36,9237.5,8372.92,10534.36,11398.94,12263.51,1.5,4.5,10.0,AVOID,False,Price > fast EMA; Fast EMA > slow EMA; Price > long EMA; RSI bullish zone; MACD > zero
