symbol,price,daily_change_pct,rsi,ema_20,ema_50,ema_200,volume_ratio,support,resistance,entry_low,entry_high,stop_loss,target_1,target_2,target_3,risk_reward_to_target1,score,signal,breakout
NYKAA,341.35,-0.91,55.94,337.18,326.98,289.89,0.36,320.3,349.55,325.1,341.35,317.1,377.73,401.98,426.24,1.5,5.5,WATCH,False
LICHSGFIN,548.95,-2.48,56.98,539.03,534.08,539.58,0.69,485.45,579.4,492.73,548.95,480.6,651.48,719.84,788.19,1.5,5.5,WATCH,False
PAYTM,1759.3,-2.67,64.16,1661.37,1519.17,1301.1,0.55,1546.3,1840.0,1569.49,1759.3,1530.84,2101.99,2330.46,2558.92,1.5,5.5,WATCH,False
KALYANKJIL,613.7,2.09,56.34,601.25,564.11,484.2,0.68,556.5,635.95,564.85,613.7,550.93,707.85,770.61,833.38,1.5,5.0,WATCH,False
TATACOMM,1794.3,1.86,59.45,1739.1,1758.24,1738.26,0.76,1640.2,1819.8,1664.8,1794.3,1623.8,2050.05,2220.56,2391.06,1.5,5.0,WATCH,False
ADANIPORTS,1744.4,-1.14,54.86,1715.73,1723.92,1640.77,0.35,1593.1,1791.4,1617.0,1744.4,1577.17,1995.25,2162.48,2329.71,1.5,4.5,AVOID,False
AUROPHARMA,1673.6,-0.37,55.71,1654.2,1610.0,1429.77,0.21,1598.8,1717.0,1622.78,1673.6,1582.81,1809.78,1900.57,1991.36,1.5,4.5,AVOID,False
GROWW,200.09,-0.07,57.51,195.65,195.99,182.29,0.41,185.35,205.21,188.13,200.09,183.5,224.98,241.57,258.17,1.5,4.5,AVOID,False
COFORGE,1787.3,-3.21,42.3,1871.76,1764.06,1593.49,1.28,1762.2,2021.2,1787.3,1787.3,1697.2,1922.45,2012.56,2102.66,1.5,4.5,AVOID,False
DIVISLAB,9237.5,-0.91,60.56,9064.48,8411.69,7175.38,0.47,8457.5,9615.0,8584.36,9237.5,8372.92,10534.36,11398.94,12263.51,1.5,4.5,AVOID,False
IDFCFIRSTB,85.82,-0.45,52.61,85.67,83.59,77.94,0.81,82.5,88.1,83.74,85.82,81.67,92.04,96.18,100.33,1.5,4.5,AVOID,False
KOTAKBANK,414.2,-1.15,54.23,413.12,403.55,398.31,0.5,386.75,429.1,392.55,414.2,382.88,461.18,492.49,523.81,1.5,4.5,AVOID,False
LGEINDIA,1650.1,0.81,52.24,1647.16,1615.99,1581.79,0.61,1614.6,1727.1,1638.82,1650.1,1593.43,1735.1,1791.77,1848.44,1.5,4.5,AVOID,False
LAURUSLABS,1944.3,-1.25,63.14,1883.33,1764.74,1390.29,0.26,1769.4,1981.8,1795.94,1944.3,1751.71,2233.19,2425.79,2618.38,1.5,4.5,AVOID,False
